视频编号,视频网址,视频标题,视频标签（以逗号隔开）,视频说明,制作者账号,制作者粉丝数量,发布时间,观看次数,点赞数,评论数量,旅行日期（年-月）,旅行时长（天）,制作者国籍,制作者旅行签证类型,地点_城市（以逗号隔开）,地点_具体地点（以逗号隔开）,视频类型,其他说明,video_id
11,https://www.youtube.com/watch?v=_UGOUnwJxyo,The TRUTH About Traveling Inside China 🇨🇳 (We Left Shanghai For Hangzhou),#hangzhou #china #floraandnote,"Come along with us as we share the truth about what it's really like to travel inside China, starting with a day in Hangzhou. This city is all about embracing the modern vibe, so we decided to hop on some electric bikes and cruise around. Our first stop was one of the oldest morning markets left in the city where you can still feel the historic charm. We tried some traditional Hangzhou delicacies before heading out to soak up the beauty of West Lake, a spot that's famous for a reason—it's seriously stunning. LOCATIONS FEATURED: 📍Zhujian Yitang Guesthouse: https://www.trip.com/hotels/hangzhou-... 📍Damanong Alley (大马弄): https://maps.app.goo.gl/VQgZj2JojPJ5H... 📍West Lake: https://maps.app.goo.gl/2u82ocyU9D5KN... 📍Leifeng Pagoda: https://maps.app.goo.gl/CnPPH1oDPagg1... If you enjoy our videos, here are some ways you can support us! △ Hit SUBSCRIBE, LIKE and SHARE our videos with your friends! △ Check out our NEW merch | https://flora-and-note.creator-spring... △ Buy us a coffee | https://buymeacoffee.com/floraandnote △ Support us directly | https://paypal.me/floraandnote LINKS & DISCOUNTS △ SurfShark VPN Discount: https://Surfshark.deals/FLORAANDNOTE △ Travel Insurance: https://bit.ly/fntravelinsurance △ Vlog Music: https://www.epidemicsound.com/referra... SOCIAL MEDIA △ Instagram:   / floraandnote   △ Facebook:   / floraandnote   △ TikTok:   / floraandnote   △ Website: https://www.floraandnote.com/ Video Breakdown by Chapters: 00:00 Trying out EV scooters 04:38 Traditional morning market in Hangzhou 05:39 This tastes like Peking duck! 09:08 Huge line up for this local delicacy 13:39 Taking in the beauty of West Lake 18:26 Best sunset spot in West Lake Disclosures: Some links in the description are affiliate links. If you click on one of the product links, I’ll receive a commission at no additional cost to you. #floraandnote #china #hangzhou",@FloraandNote,14.4w,2024年4月13日,64648,3.1k,358,2024年4月,一周左右,加拿大,,杭州,西湖，大马弄，雷峰塔,Walking tour,不清楚vlogger所用证件类型,_UGOUnwJxyo
12,https://www.youtube.com/watch?v=Ft8yt0S3MxA,This Place CAN’T BE REAL! China’s Fairyland In Jiangxi Province 🇨🇳,#china #chinatravel #floraandnote,"Head to https://squarespace.com/floraandnote to save 10% off your first purchase of a website or domain using code FLORAANDNOTE This place can't be real! We traveled all the way from Hangzhou to Wangxian Valley, also known as China's Fairyland in Jiangxi Province. We found ourselves in what seemed like a fairyland right in the middle of nowhere. This place used to be an old abandoned mine, but the government invested 2.8 billion RMB and transformed it into this breathtaking ancient-looking village. The cliffside guesthouses have gone viral on social media, turning this village into an up-and-coming tourist attraction and giving a boost to the local economy by creating jobs and bringing in money. We'll share all the details about how to get to Wangxian Valley, the perfect place to stay in this area and our honest thoughts about China's fairyland! LOCATIONS FEATURED: 📍Wind Valley Homestay (Fengzhigu): https://www.trip.com/hotels/shangrao-... 📍Wangxian Valley: https://maps.app.goo.gl/fRCgGCzGKfUJD... If you enjoy our videos, here are some ways you can support us! △ Hit SUBSCRIBE, LIKE and SHARE our videos with your friends! △ Check out our NEW merch | https://flora-and-note.creator-spring... △ Buy us a coffee | https://buymeacoffee.com/floraandnote △ Support us directly | https://paypal.me/floraandnote LINKS & DISCOUNTS △ SurfShark VPN Discount: https://Surfshark.deals/FLORAANDNOTE △ Travel Insurance: https://bit.ly/fntravelinsurance △ Vlog Music: https://www.epidemicsound.com/referra... SOCIAL MEDIA △ Instagram:   / floraandnote   △ Facebook:   / floraandnote   △ TikTok:   / floraandnote   △ Website: https://www.floraandnote.com/ Video Breakdown by Chapters: 00:00 We almost missed our high-speed train! 04:11 China high-speed train vs Japan bullet train 05:42 Most chaotic experience in China so far 10:51 Our homestay near Wangxian Valley 14:25 We made it to China's Fairyland! 20:50 Eating our way through the food alley 25:58 You have to stay for this! Disclosures: Some links in the description are affiliate links. If you click on one of the product links, I’ll receive a commission at no additional cost to you. #floraandnote #china #chinatravel",@FloraandNote,14.4w,2024年4月20日,108854,4.6k,520,2024年4月,一周左右,加拿大,,上饶,望仙谷,Walking tour,不清楚vlogger所用证件类型,Ft8yt0S3MxA
13,https://www.youtube.com/watch?v=oxqQI9VkWN0,"Our VERY FIRST DAY in SHANGHAI, CHINA (144-hour TRANSIT VISA) 🇨🇳",#Shanghai #travel ,"Our FIRST DAY in SHANGHAI CHINA, DID WE MAKE IT with the 144-hour transit visa? This is what China is like in 2023. We are risking it all to see it all so make sure you are subscribed because this is going to be one EPIC story as we TRAVEL the WORLD. If you enjoyed the video please give it a LIKE and don't forget to SUBSCRIBE to follow our journey as a full time travelling family of 5! #china #Shanghai #travel HOW TO FOLLOW US: Our Main Instagram - @thehutchinsonfamily TikTok - @thehutchinsons Chris's Instagram - @chrishutchinson07 Tamira's Instagram - @tamirahutchinson Facebook -   / thehutchinsonfam   WORK WITH US: E-mail: info@thehutchinsonfamily.co.uk **SAY YES MORE**",@TheHutchinsons,5.57w,2023年10月11日,182946,8146,788,未知,144hour,英国,过境144小时免签,上海,南京路,Mixed,,oxqQI9VkWN0
14,https://www.youtube.com/watch?v=r9TAGdsy8Xk,China SHOCKED us 🇨🇳 (British family arriving for the first time),#china #guangzhou #travel ,"Our FIRST time arriving in Guangzhou China! including travel, food and people. We are just at the beginning of our 3 month tour of China and we have found an amazing place to start. We are risking it all to see it all so make sure you are subscribed because this is going to be one EPIC story as we TRAVEL the WORLD. If you enjoyed the video please give it a LIKE and don't forget to SUBSCRIBE to follow our journey as a full time travelling family of 5! #china #guangzhou #travel HOW TO FOLLOW US: Our Main Instagram - @thehutchinsonfamily TikTok - @thehutchinsons Chris's Instagram - @chrishutchinson07 Tamira's Instagram - @tamirahutchinson Facebook -   / thehutchinsonfam   WORK WITH US: E-mail: info@thehutchinsonfamily.co.uk **SAY YES MORE**",@TheHutchinsons,5.59w,2024年3月11日,359091,1.7w,2619,2024年3月,3个月,英国,商务签证（M签证）,广州,北京路步行街，广州塔，某个陶陶居，,Walking tour,该博主23年使用144h落地签抵达过上海，视频也已收录。该视频是一整个系列视频的一部分，是该博主抵达广州后拍摄的，后续博主还去了其他城市并且也拍摄了视频。需要注意的是博主本人使用的是商务签证，而博主女儿使用的是旅游签证。博主原本担心会无法顺利通过海关，但实际上并没有遇到问题。,r9TAGdsy8Xk
15,https://www.youtube.com/watch?v=7ES4SgUTyl4,People told us NOT to visit RURAL CHINA with KIDS (We did) 🇨🇳,#china #rural #travel ,Our first visit to Rural China! We were warned not to visit Rural China with our children but we went anyway..... Also we took part in a CRAZY lion dance!! Make sure you watch until the end. We are risking it all to see it all so make sure you are subscribed because this is going to be one EPIC story as we TRAVEL the WORLD. If you enjoyed the video please give it a LIKE and don't forget to SUBSCRIBE to follow our journey as a full time travelling family of 5! #china #rural #travel HOW TO FOLLOW US: Our Main Instagram - @thehutchinsonfamily TikTok - @thehutchinsons Chris's Instagram - @chrishutchinson07 Tamira's Instagram - @tamirahutchinson Facebook -   / thehutchinsonfam   WORK WITH US: E-mail: info@thehutchinsonfamily.co.uk **SAY YES MORE**,@TheHutchinsons,5.87w,2024年3月18日,102899,6.6k,734,2024年3月,一周左右,英国,商务签证（M签证）,台山,梅家大院,Walking tour,,7ES4SgUTyl4
16,https://www.youtube.com/watch?v=3tzFErLzoJ4,"We had a DISASTER in XIAMEN, CHINA 🇨🇳",#china #xiamen #chinesefood ,"Our trip to Xiamen really didn't go to plan, after a week of being unwell, we finally made It out and about to explore. We are risking it all to see it all so make sure you are subscribed because this is going to be one EPIC story as we TRAVEL the WORLD. If you enjoyed the video please give it a LIKE and don't forget to SUBSCRIBE to follow our journey as a full time travelling family of 5! #china #xiamen #chinesefood HOW TO FOLLOW US: Our Main Instagram - @thehutchinsonfamily TikTok - @thehutchinsons Chris's Instagram - @chrishutchinson07 Tamira's Instagram - @tamirahutchinson Facebook -   / thehutchinsonfam   WORK WITH US: E-mail: info@thehutchinsonfamily.co.uk **SAY YES MORE**",@TheHutchinsons,5.87w,2024年4月1日,72056,4.9k,392,2024年3月,一周左右,英国,商务签证（M签证）,厦门,鼓浪屿,Walking tour,,3tzFErLzoJ4
17,https://www.youtube.com/watch?v=mz8gaQRfbHI,"We CAN'T BELIEVE what WE DID in HANGZHOU, CHINA 🇨🇳",#china #hangzhou #chinesefood ,Take advantage of the BUY 1 GET 2 offer from @TripOfficial and click this link to book now: https://www.trip.com/t/Hutchinsons #travelwithtripcom AD The girls have been wanting to dress in traditional Chinese clothing since we arrived in China and they finally got the chance to do so here in Hangzhou! We are risking it all to see it all so make sure you are subscribed because this is going to be one EPIC story as we TRAVEL the WORLD. If you enjoyed the video please give it a LIKE and don't forget to SUBSCRIBE to follow our journey as a full time travelling family of 5! #china #hangzhou #chinesefood HOW TO FOLLOW US: Our Main Instagram - @thehutchinsonfamily TikTok - @thehutchinsons Chris's Instagram - @chrishutchinson07 Tamira's Instagram - @tamirahutchinson Facebook -   / thehutchinsonfam   WORK WITH US: E-mail: info@thehutchinsonfamily.co.uk **SAY YES MORE**,@TheHutchinsons,5.87w,2024年4月5日,70721,5.8k,429,45383,五天左右,英国,商务签证（M签证）,杭州,西湖，灵隐寺,Walking tour,,mz8gaQRfbHI
18,https://www.youtube.com/watch?v=snuuqaS9gVc,GUANGZHOU IS SO MODERN! | A Canadian's First Time To China,无,"Guangzhou is the 3rd largest city in China and is a very important economic and trading hub for the country. It is especially famous for its annual Canton Fair, historical temples, incredible shopping and of course Cantonese cuisine. This was my first stop on my trip to China and I'm very glad it was! This city has a lot to offer and I will definitely be back :) Support my journey on Patreon:   / alinamcleod   Paypal Account: alina_397@hotmail.com My Google Map Travel Guides (more coming soon!): https://www.alinamcleod.com/travel-gu... The Travel Health Insurance I Use: HeyMondo (Get 5% OFF with my link): https://heymondo.com/?ag_campaign=ENT... *This is what I use if I want higher coverage amounts and proof of insurance for visa applications. Also better for short trips and older travellers. SafetyWing Travel Insurance (best travel health insurance for long terms digital nomads and/or younger travellers): https://safetywing.com/?referenceID=a... Luggage I Travel With: Level8 Carry-On Pro: https://www.tkqlhce.com/click-1008245... Voyageur Check-In 26"": https://www.kqzyfj.com/click-10082459... Best Travel Credit Card - Amex Platinum (get 10,000 extra points by using my referral link!): https://americanexpress.com/en-ca/ref... Where I Primarily Book My Hotels/Hostels: https://booking.tp.st/2lP4Jjcu Best E-sim cards for travel: https://airalo.tp.st/wHCallXk Best way to book day trips abroad: https://viator.tp.st/ik5IbozE My Favorite Browser Extension To Save Money Online - Honey (price shops everything for you with coupon codes, amazing): https://joinhoney.com/ref/ckenvq My Favorite Travel Backpacks + Luggage - Osprey: 1 FREE AUDIOBOOK FROM AUDIBLE (I loooooove this service): https://www.audibletrial.com/alinamcleod Best Way To Send Money Abroad (link gets you discount) - Wise.com: https://wise.com/invite/u/alinam371 The Music I Use In My Videos - Epidemic Sound Get a 30 Day FREE TRIAL by using my referral link: https://www.epidemicsound.com/referra... ************************************************************** - Equipment I Use To Film Videos - Main Video Camera: DJI Osmo Pocket 2 - https://click.dji.com/AIUwjIKoAG-F-P4... Action Camera: DJI Action - https://click.dji.com/AAGjfWjSvm9g0YS... Photography + Sit down camera: Sony a6400 - https://amzn.to/3cSYaMK Gimbal for Sony: DJI Ronin RSC 2 - https://click.dji.com/ADCjatxPUwRDPRl... Drone: DJI Mini 2 - https://click.dji.com/AELErSRJdd777h9... Microphone: Rode Micro - https://amzn.to/3muSHz8 Livestreaming Equipment: Iphone 11 and DJI OM - https://click.dji.com/AA-37ILfXyD-S4l... ** FOLLOW ME ON SOCIAL MEDIA ** Instagram -   / alinamcleod   Facebook - https://www.facebook.com/alinamcleodo... WEBSITE - http://www.alinamcleod.com/ Мой русскоязычный канал / My Russian Speaking Channel:    / @user-yz5kc7ip7f   ************************************************************** ** I USE AFFILIATE LINKS ** Affiliate links do not cost you as the consumer any more than you would normally pay, but it does offer a kickback to the person who initiated the sale. This allows me to financially continue to be able to make content for you and I only endorse products I genuinely love. Any sponsored content will be stated as so. Contact me: alina_397@hotmail.com Lots of love xx Alina",@AlinaMcleod,29.4w,2024年3月26日,237033,10k,1903,45352,一周左右,加拿大,,广州,陈家祠，北京路,Walking tour,不清楚vlogger所用签证类型,snuuqaS9gVc
19,https://www.youtube.com/watch?v=Fo-Zjy-5c60,I'M IN A FAIRYTALE IN CHINA | Exploring Zhangjiajie's Avatar Mountains,无,"Zhangjiajie is arguably one of the most beautiful nature areas in all of China and since this was my first time in the country, I knew this was one of the places I had to visit! Known as the Hallelujah Mountains since the area gained even more popularity after the Avatar movie series took inspiration from this area. Understandably this area can get VERY BUSY during peak tourist seasons, so make sure you book your tickets ahead of time and know the basics of what to expect. I hope my video will be helpful in planning your trip! Support my journey on Patreon:   / alinamcleod   Paypal Account: alina_397@hotmail.com My Google Map Travel Guides (more coming soon!): https://www.alinamcleod.com/travel-gu... The Travel Health Insurance I Use: HeyMondo (Get 5% OFF with my link): https://heymondo.com/?ag_campaign=ENT... *This is what I use if I want higher coverage amounts and proof of insurance for visa applications. Also better for short trips and older travellers. SafetyWing Travel Insurance (best travel health insurance for long terms digital nomads and/or younger travellers): https://safetywing.com/?referenceID=a... Luggage I Travel With: Level8 Carry-On Pro: https://www.tkqlhce.com/click-1008245... Voyageur Check-In 26"": https://www.kqzyfj.com/click-10082459... Best Travel Credit Card - Amex Platinum (get 10,000 extra points by using my referral link!): https://americanexpress.com/en-ca/ref... Where I Primarily Book My Hotels/Hostels: https://booking.tp.st/2lP4Jjcu Best E-sim cards for travel: https://airalo.tp.st/wHCallXk Best way to book day trips abroad: https://viator.tp.st/ik5IbozE My Favorite Browser Extension To Save Money Online - Honey (price shops everything for you with coupon codes, amazing): https://joinhoney.com/ref/ckenvq My Favorite Travel Backpacks + Luggage - Osprey: 1 FREE AUDIOBOOK FROM AUDIBLE (I loooooove this service): https://www.audibletrial.com/alinamcleod Best Way To Send Money Abroad (link gets you discount) - Wise.com: https://wise.com/invite/u/alinam371 The Music I Use In My Videos - Epidemic Sound Get a 30 Day FREE TRIAL by using my referral link: https://www.epidemicsound.com/referra... ************************************************************** - Equipment I Use To Film Videos - Main Video Camera: DJI Osmo Pocket 2 - https://click.dji.com/AIUwjIKoAG-F-P4... Action Camera: DJI Action - https://click.dji.com/AAGjfWjSvm9g0YS... Photography + Sit down camera: Sony a6400 - https://amzn.to/3cSYaMK Gimbal for Sony: DJI Ronin RSC 2 - https://click.dji.com/ADCjatxPUwRDPRl... Drone: DJI Mini 2 - https://click.dji.com/AELErSRJdd777h9... Microphone: Rode Micro - https://amzn.to/3muSHz8 Livestreaming Equipment: Iphone 11 and DJI OM - https://click.dji.com/AA-37ILfXyD-S4l... ** FOLLOW ME ON SOCIAL MEDIA ** Instagram -   / alinamcleod   Facebook - https://www.facebook.com/alinamcleodo... WEBSITE - http://www.alinamcleod.com/ Мой русскоязычный канал / My Russian Speaking Channel:    / @user-yz5kc7ip7f   ************************************************************** ** I USE AFFILIATE LINKS ** Affiliate links do not cost you as the consumer any more than you would normally pay, but it does offer a kickback to the person who initiated the sale. This allows me to financially continue to be able to make content for you and I only endorse products I genuinely love. Any sponsored content will be stated as so. Contact me: alina_397@hotmail.com Lots of love xx Alina",@AlinaMcleod,29.4w,2024年4月4日,249516,11k,1895,45383,10天左右哦,加拿大,,张家界,天门山，黄石寨,Walking tour,不清楚vlogger所用签证类型,Fo-Zjy-5c60
20,https://www.youtube.com/watch?v=f1xisrL00iE,"THE MEGACITY YOU'VE NEVER HEARD OF | First Impressions Of Chongqing, China",无,"Most people in the west have not heard of Chongqing and would find it hard to grasp that it has 32 million people in its municipality! It is one of the fastest growing cities in China that has become a hub for finance, manufacturing, as well as tourism! I luckily had some friends as well as the lovely tourism board of the city to show me around, because it is definitely overwhelming on a first visit! Check out their channels down below: Ichongqing:    / @ichongqing   Reporterfy Media:    / @reporterfy   ***I received a complimentary hotel stay and tour around the city by the tourism board. I was not paid money or told what to post :) Support my journey on Patreon:   / alinamcleod   Paypal Account: alina_397@hotmail.com My Google Map Travel Guides (more coming soon!): https://www.alinamcleod.com/travel-gu... The Travel Health Insurance I Use: HeyMondo (Get 5% OFF with my link): https://heymondo.com/?ag_campaign=ENT... *This is what I use if I want higher coverage amounts and proof of insurance for visa applications. Also better for short trips and older travellers. SafetyWing Travel Insurance (best travel health insurance for long terms digital nomads and/or younger travellers): https://safetywing.com/?referenceID=a... Luggage I Travel With: Level8 Carry-On Pro: https://www.tkqlhce.com/click-1008245... Voyageur Check-In 26"": https://www.kqzyfj.com/click-10082459... Best Travel Credit Card - Amex Platinum (get 10,000 extra points by using my referral link!): https://americanexpress.com/en-ca/ref... Where I Primarily Book My Hotels/Hostels: https://booking.tp.st/2lP4Jjcu Best E-sim cards for travel: https://airalo.tp.st/wHCallXk Best way to book day trips abroad: https://viator.tp.st/ik5IbozE My Favorite Browser Extension To Save Money Online - Honey (price shops everything for you with coupon codes, amazing): https://joinhoney.com/ref/ckenvq My Favorite Travel Backpacks + Luggage - Osprey: 1 FREE AUDIOBOOK FROM AUDIBLE (I loooooove this service): https://www.audibletrial.com/alinamcleod Best Way To Send Money Abroad (link gets you discount) - Wise.com: https://wise.com/invite/u/alinam371 The Music I Use In My Videos - Epidemic Sound Get a 30 Day FREE TRIAL by using my referral link: https://www.epidemicsound.com/referra... ************************************************************** - Equipment I Use To Film Videos - Main Video Camera: DJI Osmo Pocket 2 - https://click.dji.com/AIUwjIKoAG-F-P4... Action Camera: DJI Action - https://click.dji.com/AAGjfWjSvm9g0YS... Photography + Sit down camera: Sony a6400 - https://amzn.to/3cSYaMK Gimbal for Sony: DJI Ronin RSC 2 - https://click.dji.com/ADCjatxPUwRDPRl... Drone: DJI Mini 2 - https://click.dji.com/AELErSRJdd777h9... Microphone: Rode Micro - https://amzn.to/3muSHz8 Livestreaming Equipment: Iphone 11 and DJI OM - https://click.dji.com/AA-37ILfXyD-S4l... ** FOLLOW ME ON SOCIAL MEDIA ** Instagram -   / alinamcleod   Facebook - https://www.facebook.com/alinamcleodo... WEBSITE - http://www.alinamcleod.com/ Мой русскоязычный канал / My Russian Speaking Channel:    / @user-yz5kc7ip7f   ************************************************************** ** I USE AFFILIATE LINKS ** Affiliate links do not cost you as the consumer any more than you would normally pay, but it does offer a kickback to the person who initiated the sale. This allows me to financially continue to be able to make content for you and I only endorse products I genuinely love. Any sponsored content will be stated as so. Contact me: alina_397@hotmail.com Lots of love xx Alina",@AlinaMcleod,29.4w,2024年4月15日,112509,5.8k,807,45383,一周左右,加拿大,,重庆,解放碑，弹子石老街，洪崖洞,Walking tour,不清楚vlogger所用签证类型,f1xisrL00iE
21,https://www.youtube.com/watch?v=WeqgQYGT7dA,Inside CHINA... (Not What You’d Expect) 🇨🇳Intense 48 Hours in Beijing China 🇨🇳,#china #beijing #firstimpressions #chinatravel #travel #travelvlog,"What is China really like? In 2023, China reopened and despite being told not to travel here, we travelled to Beijing for the first time. Flying in to China, we did not have many expectations from Beijing, or China more generally, but you hear A LOT about this country in western media. We've travelled to many places that have stereotypes & stigmas attached to them and China is no different, hopefully this video can expel a few of them for you, as it did for us. Welcome to Beijing, the capital of the Peoples Republic of China. TRAVEL WITH US in 2024: https://www.humankindexpeditions.com/ - Want to support our channel?   / mattandjulia   or a one of donation: https://buymeacoffee.com/mattandjulia - - Our Travel Gear - https://www.mattandjulia.co.uk/our-gear - We get all of our music here: https://www.epidemicsound.com/referra... - We make all of our thumbnails here: https://partner.canva.com/c/2604310/6... - For business enquiries - business@mattandjulia.co.uk You can also, find us here: WEBSITE: https://mattandjulia.co.uk INSTAGRAM:   / matt.and.julia   PATREON:   / mattandjulia   BUYMEACOFFEE: https://www.buymeacoffee.com/mattandj... YOUTUBE:    / mattandjulia   TWITTER:   / matt_and_julia   🎵 Music: All the music in this video comes from here: http://share.epidemicsound.com/freemusic - Inside CHINA... (Not What You’d Expect) 🇨🇳 #china #beijing #firstimpressions #chinatravel #travel #travelvlog",@MattandJulia,20.9w,2024年1月1日,374541,11k,1550,45292,四天,英国,过境144小时免签,北京,全聚德，天安门广场，长城，天坛,Walking tour,,WeqgQYGT7dA
22,https://www.youtube.com/watch?v=M_lwC5zPkyo,"First Impressions of SHANGHAI, CHINA! Travel Vlog",#china #shanghai #chinatravel,"I'm in China! In this video, I'm exploring the modern megacity of Shanghai during Chinese New Year 2024. I'll share my experience as a solo American traveler in Shanghai, explore different neighborhoods in the city (People's Square, former French Concession, Yu Garden, The Bund), and eat lots of incredible food! THANK YOU FOR WATCHING Arabic & Chinese subtitles available! https://www.trip.com/t/DougBarnard TRAVEL WITH ME! https://www.dougbarnardtravel.com/trips KEEP UP WITH ME: Instagram:   / doug_barnard   TikTok:   / doug_barnard   X: https://www.x.com/doug_barnard Facebook:   / dougbarnardtravel   MY VLOGGING & TRAVEL GEAR: https://www.dougbarnardtravel.com/gear Music: Epidemic Sound. Get a 30 day free trial here! https://www.epidemicsound.com/referra... #china #shanghai #travel #chinatravel #chinavlog #shanghaivlog #solotravel #streetfood #foodvlog #nihaochina #nihaoshanghai #tripcom #travelwithtripcom",@doug_barnard,56.2w,2024年3月19日,281653,9.7k,1845,2024年春节前后,,美国,,上海,淮海路，外滩,Walking tour,不清楚vlogger所用签证类型,M_lwC5zPkyo
23,https://www.youtube.com/watch?v=_qhh7xLWZnI,"Must-Try MUSLIM CHINESE FOODS in Xi'an, China (Insanely Delicious)",#xian #noodles #china,"n this vlog, I'm in Xi'an, the noodle capital of China! Home to many Hui Muslims, Xi'an offers some of the most unique and delicious halal food in China. In this video, I'm trying beef dumplings, lots and lots of noodles, street foods, desserts, and more! THANK YOU FOR WATCHING Arabic & Chinese subtitles available! https://www.trip.com/t/DougBarnard TRAVEL WITH ME! https://www.dougbarnardtravel.com/trips KEEP UP WITH ME: Instagram:   / doug_barnard   TikTok:   / doug_barnard   X: https://www.x.com/doug_barnard Facebook:   / dougbarnardtravel   MY VLOGGING & TRAVEL GEAR: https://www.dougbarnardtravel.com/gear Music: Epidemic Sound. Get a 30 day free trial here! https://www.epidemicsound.com/referra... #china #xian #travel #visitchina #chinatravel #chinavlog #solotravel #streetfood #chinesefood #noodles #foodvlog #nihaochina #nihaoxian #tripcom #travelwithtripcom",@doug_barnard,56.2w,2024年3月27日,63135,3.4k,417,2024年,,美国,,西安,回坊,Walking tour,不清楚vlogger所用签证类型,_qhh7xLWZnI
24,https://www.youtube.com/watch?v=xxgmccRo7wA,"First Impressions of KUNMING, CHINA: The City of Eternal Spring",#yunnan #china #chinatravel,"In this vlog, I'm in Kunming, the capital of Yunnan Province, China! I'm exploring this lesser-known city, and telling you why I think it's one of the best and most underrated tourist destinations in China. In this video, we'll visit downtown Kunming, a few local markets, and Green Lake Park. And we'll take a trip outside the city to the Yunnan Stone Forest! THANK YOU FOR WATCHING Arabic & Chinese subtitles available! https://www.trip.com/t/DougBarnard TRAVEL WITH ME! https://www.dougbarnardtravel.com/trips KEEP UP WITH ME: Instagram:   / doug_barnard   TikTok:   / doug_barnard   X: https://www.x.com/doug_barnard Facebook:   / dougbarnardtravel   MY VLOGGING & TRAVEL GEAR: https://www.dougbarnardtravel.com/gear Music: Epidemic Sound. Get a 30 day free trial here! https://www.epidemicsound.com/referra... #china #kunming #travel #visitchina #chinatravel #chinavlog #solotravel #streetfood #chinesefood #yunnan #nihaochina #nihaokunming #tripcom #travelwithtripcom",@doug_barnard,56.2w,2024年4月11日,28957,1.5k,219,2024年,,美国,,昆明,南屏街，老街，翠湖，石林,Walking tour,不清楚vlogger所用签证类型,xxgmccRo7wA
25,https://www.youtube.com/watch?v=RGORsPohdKc,I always wanted to come to CHINA! 🇨🇳 First impressions in SHANGHAI,#china #shanghai #shanghaicity,"First time in Shanghai China! This city is impressive! Can't wait to explore more! VIDEO THAT MIGHT INTEREST YOU: 📺First Day in Hanoi Vietnam 🇻🇳 :    • First Impressions of Hanoi Vietnam 🇻🇳   📺This is What We Love In BANGKOK THAILAND!! 🇹🇭:    • This is What We Love In BANGKOK THAIL...   TO SUPPORT US: ☕ BUY US A COFFEE HERE: https://www.buymeacoffee.com/danandlyn 👍 LIKE OUR VIDEOS ❤️ SUBSCRIBE:    / danandlyn   💬 YOUR OPINION MATTERS Share with us what would you like to watch more in our channel WHO ARE WE? We are Dan and Lyn, a couple who quit their job to see the world. We share our journey so we can explore and experience all together. 🎵 WHERE WE GET MUSIC FOR OUR CHANNEL Epidemic Sound (30 Day Free Trial): https://www.epidemicsound.com/referra... * Some links in the description are affiliate links. If you click on one of the product links, we’ll receive a small commission at no additional cost to you. Dan and Lyn #china #shanghai #shanghaicity",@DanandLyn,1.6w,2024年3月29日,42432,1.8k,264,2024年四月前后,一个月左右,法国,,上海,南京路，朱家角古镇,Walking tour,不清楚vlogger所用签证类型,RGORsPohdKc
26,https://www.youtube.com/watch?v=HtFyFVVpKtc,CHINA YA NO ES COMO ANTES | ¿Qué cambió en 3 años de encierro? 🇨🇳,无,"China al fin re-abrió sus fronteras tras haber estado tres años cerradas, y por supuesto que debíamos visitar tan hermoso e impactante país. Aquí mis primeras impresiones de esta travesía; atentos, que va a estar jugosa :D Partes del video: 00:00 INTRO 00:41 ¿Dónde estamos? 01:01 Encabezados exagerados 02:00 ¿Qué haremos? 02:45 Metro de Beijing 03:04 No puedes usar estas Apps 03:44 Más datos del metro 04:48 Así es el dinero 05:50 Datos sobre el Vagón 06:38 Ya no existe la calle de comida:( 09:36 El impacto del E-COMMERCE 11:06 Centros de carga de motos 13:12 Casi no hay turistas 14:58 Fotógrafos pro 15:33 Robot policia 16:06 Despedida - Cámbiate a PILLOFON, mi compañía telefónica https://pillofon.mx/ - Checa REY PALOMO, mi marca de ropa https://elreypalomo.com/ - Mi podcast ""En Cortinas""    / @encortinasconluisitoyberth1987   - Mi canal de historias @Luisito Comunica Stories    / @luisitocomunicastories5230   ¡SUSCRÍBETE! - Sígueme en Instagram @LuisitoComunica   / luisitocomunica   - Sígueme en Facebook   / luisitocomunica   - Twitter   / luisitocomunica  ",@luisitocomunica,4240w,2023年5月16日,"10,430,240",16w,4367,未知,几个星期,墨西哥或俄罗斯,,北京,王府井,Mixed,不清楚vlogger所用签证类型,HtFyFVVpKtc
27,https://www.youtube.com/watch?v=IRLNpeDLhLw,Indian Travelling in Bullet Train of China🇨🇳 | World’s Longest Bullet Train Network 😱,#bullettrains #china #travelwithak,#bullettrains #china #travelwithak,@travelwithak,52.5w,2023年6月11日 ,4323728,6.5w,4750,未知,,印度,,上海到杭州,上海虹桥站，浙江中医大学,Mixed,不清楚vlogger所用签证类型,IRLNpeDLhLw
28,https://www.youtube.com/watch?v=SFTI27WebSI,How is Village life in China 🇨🇳 | Remote villages of China 🇨🇳,#huangshan， #china， #travelwithak,#huangshan #china #travelwithak,@travelwithak,52.5w,2023年6月17日 ,"3,412,933",6.1w,3736,未知,,印度,,黄山,宏村古镇,Mixed,不清楚vlogger所用签证类型,SFTI27WebSI
29,https://www.youtube.com/watch?v=9ArBAPJlKOM,"China Village Life Near India 🇮🇳🇨🇳| Lijiang,Yunnan Province","#villagelife， #yunnan， #china, #travelwithak",#villagelife #yunnan #china #travelwithak,@travelwithak,52.5w,2024年1月18日,"2,648,207",5.4w,2559,未知,,印度,,云南,丽江市,Mixed,不清楚vlogger所用签证类型,9ArBAPJlKOM
